_type,url,date,text,renderedContent,id,user,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,source,sourceUrl,sourceLabel,outlinks,tcooutlinks,media,retweetedTweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,place,hashtags,cashtags
snscrape.modules.twitter.Tweet,https://twitter.com/LeaderMcConnell/status/1427373098244923392,2021-08-16 20:54:00+00:00,What we are seeing in Afghanistan is an unmitigated disaster. The Biden Administration’s retreat will leave a stain on the reputation of the United States. And it didn’t have to happen this way. https://t.co/NYSsA6gEkz,What we are seeing in Afghanistan is an unmitigated disaster. The Biden Administration’s retreat will leave a stain on the reputation of the United States. And it didn’t have to happen this way. https://t.co/NYSsA6gEkz,1.43E+18,McConnell,1792,330,1561,135,1.43E+18,en,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",https://studio.twitter.com,Twitter Media Studio,,,"[{'_type': 'snscrape.modules.twitter.Video', 'thumbnailUrl': 'https://pbs.twimg.com/media/E88L92hWYAM-pJy.jpg', 'variants': [{'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1427372467027382283/vid/1240x700/7GD2MVVlTVQLDdpL.mp4?tag=14', 'bitrate': 2176000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1427372467027382283/pl/bPekbg7V2G8OwQpR.m3u8?tag=14', 'bitrate': None}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1427372467027382283/vid/478x270/e3Dp32dmIZ0SWKHi.mp4?tag=14', 'bitrate': 288000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1427372467027382283/vid/636x360/Zuq_sw67jmVCQYTk.mp4?tag=14', 'bitrate': 832000}], 'duration': 214.333, 'views': 66009}]",,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/LeaderMcConnell/status/1426975608987336713,2021-08-15 18:34:31+00:00,The Biden Administration’s botched exit from Afghanistan including the frantic evacuation of Americans and vulnerable Afghans from Kabul is a shameful failure of American leadership. The United States had the capacity to avoid this disaster. My full statement: https://t.co/p4wyuWxoHq,The Biden Administration’s botched exit from Afghanistan including the frantic evacuation of Americans and vulnerable Afghans from Kabul is a shameful failure of American leadership. The United States had the capacity to avoid this disaster. My full statement: https://t.co/p4wyuWxoHq,1.43E+18,McConnell,2961,1078,4073,283,1.43E+18,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/E82iwIrWQAgT0dq?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/E82iwIrWQAgT0dq?format=jpg&name=large'}]",,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/LeaderMcConnell/status/1426302359811072005,2021-08-13 21:59:16+00:00,"I just spoke to Afghanistan’s Ambassador to the United States, Adela Raz. We had an urgent conversation about the deteriorating security situation in Afghanistan and the unfolding humanitarian crisis. My full statement: https://t.co/wUFQ6ydEky","I just spoke to Afghanistan’s Ambassador to the United States, Adela Raz. We had an urgent conversation about the deteriorating security situation in Afghanistan and the unfolding humanitarian crisis. My full statement: https://t.co/wUFQ6ydEky",1.43E+18,McConnell,985,261,854,120,1.43E+18,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/E8s-bEfXIAQnl-z?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/E8s-bEfXIAQnl-z?format=jpg&name=large'}]",,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/LeaderMcConnell/status/1425927733859831816,2021-08-12 21:10:38+00:00,"The Biden Administration has reduced U.S. officials to pleading with Islamic extremists to please spare our Embassy as they prepare to overrun Kabul. A massive, predictable, and preventable disaster. My new statement: https://t.co/cHJ6NBNHFB","The Biden Administration has reduced U.S. officials to pleading with Islamic extremists to please spare our Embassy as they prepare to overrun Kabul. A massive, predictable, and preventable disaster. My new statement: bit.ly/3fVBJZW",1.43E+18,McConnell,1090,210,761,103,1.43E+18,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,['https://bit.ly/3fVBJZW'],['https://t.co/cHJ6NBNHFB'],,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/LeaderMcConnell/status/1425124023336382467,2021-08-10 15:56:59+00:00,"Senate Democrats are about to take their first step toward yet another reckless, partisan taxing and spending spree.

It will push costs even higher for families. It will shatter President Biden’s promise of no middle-class tax hikes.

Long day of debate and voting ahead.","Senate Democrats are about to take their first step toward yet another reckless, partisan taxing and spending spree.

It will push costs even higher for families. It will shatter President Biden’s promise of no middle-class tax hikes.

Long day of debate and voting ahead.",1.43E+18,McConnell,3934,249,1130,580,1.43E+18,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/LeaderMcConnell/status/1424061176103809025,2021-08-07 17:33:36+00:00,"In a few days, Democrats want to put far-left radicalism on the Senate floor. The American people will know where every Senator stands on a slew of bad ideas:

❌New welfare without work requirements

❌Green New Deal mandates

❌Massive tax hikes

❌Amnesty amid a border crisis","In a few days, Democrats want to put far-left radicalism on the Senate floor. The American people will know where every Senator stands on a slew of bad ideas:

❌New welfare without work requirements

❌Green New Deal mandates

❌Massive tax hikes

❌Amnesty amid a border crisis",1.42E+18,McConnell,2023,274,864,164,1.42E+18,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/LeaderMcConnell/status/1422632187455758336,2021-08-03 18:55:19+00:00,"On Democrats' watch, six months in: 

▪️Painful inflation
▪️Persistent unemployment
▪️Trillions in runaway spending 
▪️Southern border crisis 
▪️Continued violent crime surge

The more Democrats’ policies take effect, the more problems Americans face.
https://t.co/AU2Pc4QOLf","On Democrats' watch, six months in: 

▪️Painful inflation
▪️Persistent unemployment
▪️Trillions in runaway spending 
▪️Southern border crisis 
▪️Continued violent crime surge

The more Democrats’ policies take effect, the more problems Americans face.
bit.ly/3ymBbU7",1.42E+18,McConnell,1659,149,524,79,1.42E+18,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,['https://bit.ly/3ymBbU7'],['https://t.co/AU2Pc4QOLf'],,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/LeaderMcConnell/status/1422591228705660932,2021-08-03 16:12:34+00:00,"It’s been a little more than six months since the Biden Administration and our Democrat-led Congress were sworn in. 

So let’s zoom out from the daily political drama and ask the simplest possible question: How’s it going?

👇 https://t.co/BBsQol1QpD","It’s been a little more than six months since the Biden Administration and our Democrat-led Congress were sworn in. 

So let’s zoom out from the daily political drama and ask the simplest possible question: How’s it going?

👇 https://t.co/BBsQol1QpD",1.42E+18,McConnell,1878,158,789,107,1.42E+18,en,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",https://studio.twitter.com,Twitter Media Studio,,,"[{'_type': 'snscrape.modules.twitter.Video', 'thumbnailUrl': 'https://pbs.twimg.com/media/E74O2VLWYAQjgtL.jpg', 'variants': [{'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1422588402898284547/vid/640x360/wNwouWd_4KoBeEYH.mp4?tag=14', 'bitrate': 832000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1422588402898284547/vid/480x270/EwBvfJ6kVOjya5El.mp4?tag=14', 'bitrate': 288000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1422588402898284547/vid/1280x720/XjfNhpQsfvLMaiZu.mp4?tag=14', 'bitrate': 2176000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1422588402898284547/pl/_N3xzG3LnUA052kF.m3u8?tag=14', 'bitrate': None}], 'duration': 497.397, 'views': 62486}]",,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/LeaderMcConnell/status/1420863283343540226,2021-07-29 21:46:19+00:00,"The one thing we know that works at stopping COVID-19 is vaccines.
 
We've developed three highly effective vaccines in under one year. And 97% of people in the hospital right now with COVID-19 haven’t gotten one. The total conclusive case for vaccination. https://t.co/fUJ3F6lnLH","The one thing we know that works at stopping COVID-19 is vaccines.
 
We've developed three highly effective vaccines in under one year. And 97% of people in the hospital right now with COVID-19 haven’t gotten one. The total conclusive case for vaccination. https://t.co/fUJ3F6lnLH",1.42E+18,McConnell,1726,599,2638,297,1.42E+18,en,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",https://studio.twitter.com,Twitter Media Studio,,,"[{'_type': 'snscrape.modules.twitter.Video', 'thumbnailUrl': 'https://pbs.twimg.com/media/E7awl88XIAsfefN.jpg', 'variants': [{'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1420516520975818752/vid/480x270/w5lDA4S8cEEkWBMz.mp4?tag=14', 'bitrate': 288000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1420516520975818752/vid/640x360/NN2EWXGxSR6yXt6I.mp4?tag=14', 'bitrate': 832000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1420516520975818752/vid/1280x720/rTSvC-x3CD14iJPx.mp4?tag=14', 'bitrate': 2176000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1420516520975818752/pl/5etwsqBjkSByD9ys.m3u8?tag=14', 'bitrate': None}], 'duration': 51.018, 'views': 144411}]",,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/LeaderMcConnell/status/1420784474363727884,2021-07-29 16:33:10+00:00,"Democrats' rampant spending has already fueled painful inflation.
 
But now they want to ram through another $3.5 trillion reckless taxing-and-spending spree?
 
That’s the opposite of what this recovering economy needs right now. https://t.co/6ZwR0Fetuz","Democrats' rampant spending has already fueled painful inflation.
 
But now they want to ram through another $3.5 trillion reckless taxing-and-spending spree?
 
That’s the opposite of what this recovering economy needs right now. https://t.co/6ZwR0Fetuz",1.42E+18,McConnell,1459,115,492,103,1.42E+18,en,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",https://studio.twitter.com,Twitter Media Studio,,,"[{'_type': 'snscrape.modules.twitter.Video', 'thumbnailUrl': 'https://pbs.twimg.com/media/E7awputXsAMvo3b.jpg', 'variants': [{'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1420516520963321860/vid/480x270/BRD5hoQCXVNXGjXw.mp4?tag=14', 'bitrate': 288000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1420516520963321860/vid/640x360/fZ89RVXILD8HGEHK.mp4?tag=14', 'bitrate': 832000}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1420516520963321860/pl/grsViUq9iJgsFBCM.m3u8?tag=14', 'bitrate': None}, {'_type': 'snscrape.modules.twitter.VideoVariant', 'contentType': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1420516520963321860/vid/1280x720/di8j3sjWSu7mlX57.mp4?tag=14', 'bitrate': 2176000}], 'duration': 60.193, 'views': 34276}]",,,,,,,,,
